genome,completeness,contamination,length,N50
D300444:bin_000001.fa,96.63,4.16,3132942,40751
D300444:bin_000012.fa,62.99,1.33,2180262,2637
D300444:bin_000013.fa,71.34,1.39,2403981,5137
D300445:bin_000014.fa,79.7,1.73,2911427,8465
D300447:bin_000012.fa,82.81,3.26,3147941,13481
D300447:bin_000016.fa,73.46,1.45,2555112,10146
D300448:bin_000013.fa,94.27,4.36,3661952,28921
D300449:bin_000007.fa,90.57,5.0,3093484,22467
D300450:bin_000010.fa,80.63,2.44,3098178,7459
D300450:bin_000013.fa,83.23,5.44,2802761,13578
D300451:bin_000016.fa,58.24,0.43,1514054,3180
D300452:bin_000003.fa,94.44,2.03,2580217,20312
D300453:bin_000001.fa,93.68,0.4,2126462,19951
D300453:bin_000019.fa,72.34,3.36,2034786,7621
D300455:bin_000002.fa,100.0,2.7,2474811,14488
D300455:bin_000003.fa,90.93,4.6,4212433,5527
D300455:bin_000010.fa,89.04,9.38,5071996,24561
D300457:bin_000003.fa,98.47,3.94,3146776,37377
D300457:bin_000004.fa,99.21,2.15,4663377,13162
D300461:bin_000004.fa,98.27,3.35,2919158,17220
D300462:bin_000008.fa,87.99,8.28,2631532,8615
D300463:bin_000001.fa,90.23,0.46,2567597,47500
D300463:bin_000005.fa,91.2,1.29,2866352,21236
D300463:bin_000014.fa,90.73,7.11,3746334,20429
D300463:bin_000018.fa,94.53,1.16,3748135,11543
D300464:bin_000017.fa,84.17,1.63,2518730,8017
D300466:bin_000007.fa,83.55,2.38,3007038,28381
D300467:bin_000017.fa,75.16,1.72,2590160,7025
D300468:bin_000001.fa,99.92,2.91,2663109,57438
D300469:bin_000017.fa,86.26,6.97,4041502,22852
D300470:bin_000006.fa,93.3,4.4,3081224,26519
D300470:bin_000007.fa,84.95,1.96,3684934,4721
D300470:bin_000011.fa,88.63,18.72,6892068,25002
D300470:bin_000016.fa,81.47,5.32,1867168,6005
D300471:bin_000011.fa,81.84,3.81,3457685,9328
D300473:bin_000011.fa,83.62,1.06,1492370,5041
D300473:bin_000012.fa,80.31,2.9,2291163,4278
D300473:bin_000014.fa,86.47,5.41,2533268,14773
D300473:bin_000016.fa,76.89,1.4,2672578,11681
D300473:bin_000018.fa,69.57,0.39,2590393,7292
D300474:bin_000013.fa,82.49,9.33,3204347,17299
D300474:bin_000016.fa,77.24,1.59,1522664,3696
D300475:bin_000002.fa,100.0,0.86,2787272,17474
D300475:bin_000004.fa,95.76,3.0,2717316,25733
D300475:bin_000005.fa,95.97,4.15,2667474,15611
D300475:bin_000016.fa,83.22,2.49,1119746,5045
D300475:bin_000023.fa,63.31,2.09,1884848,4459
D300475:bin_000024.fa,67.09,16.62,4327848,3019
D300476:bin_000004.fa,96.72,3.87,3321694,50626
D300477:bin_000007.fa,88.34,1.03,2654163,5995
D300477:bin_000009.fa,92.63,2.08,2476960,13303
D300477:bin_000012.fa,85.27,5.79,4934463,23224
D300477:bin_000016.fa,73.75,1.3,2065550,7685
D300478:bin_000004.fa,97.21,2.66,1808430,17696
D300479:bin_000009.fa,97.38,10.59,5351914,21456
D300479:bin_000015.fa,88.67,3.64,2430631,9471
D300480:bin_000001.fa,94.86,0.79,2668633,26945
D300480:bin_000002.fa,88.75,2.25,2532792,16613
D300481:bin_000007.fa,96.07,6.07,2625038,21687
D300484:bin_000006.fa,93.62,6.5,2513118,10206
D300484:bin_000009.fa,84.09,0.63,2961911,11478
D300485:bin_000001.fa,88.28,3.56,2496941,15760
D300485:bin_000006.fa,84.24,1.97,2385450,13299
D300485:bin_000011.fa,92.89,4.82,3475314,29011
D300486:bin_000003.fa,89.51,3.25,2241636,9140
D300487:bin_000004.fa,98.6,5.85,3320351,35233
D300487:bin_000005.fa,99.29,20.87,7213528,38169
D300489:bin_000009.fa,89.32,5.43,3536411,16866
D300490:bin_000004.fa,93.69,3.65,2178219,15683
D300493:bin_000012.fa,86.24,5.24,2197069,6170
D300494:bin_000010.fa,86.9,3.59,2544303,20583
D300494:bin_000011.fa,74.53,12.06,3342901,6691
D300495:bin_000015.fa,81.1,6.53,2704517,8517
D300496:bin_000003.fa,94.66,2.7,3744363,36955
D300496:bin_000008.fa,92.46,2.24,3491286,32328
D300496:bin_000011.fa,80.39,11.07,3728230,3044
D300497:bin_000010.fa,96.53,1.52,3235488,19761
D300497:bin_000012.fa,78.75,5.31,3813434,13702
D300498:bin_000003.fa,93.63,1.27,2750283,38093
D300499:bin_000015.fa,95.7,5.45,4069219,20797
D300500:bin_000010.fa,82.84,20.21,8555401,23288
D300503:bin_000019.fa,78.04,17.19,2684877,10778
D300506:bin_000003.fa,94.38,3.96,3019009,25589
D300506:bin_000019.fa,65.34,5.21,2904056,6698
D300507:bin_000014.fa,74.21,1.77,1118234,4889
D300508:bin_000009.fa,77.05,2.75,1776845,9625
D300508:bin_000014.fa,79.13,4.05,3075630,19038
D300509:bin_000012.fa,80.35,4.01,3196189,13287
D300509:bin_000015.fa,78.79,3.9,1910215,4750
D300512:bin_000019.fa,65.15,1.03,2188796,4077
D300514:bin_000002.fa,94.57,2.96,1878273,21542
D300514:bin_000006.fa,89.62,5.73,2621704,19449
D300514:bin_000013.fa,63.37,1.74,1418765,2961
D300516:bin_000007.fa,90.18,5.58,2150884,7227
D300516:bin_000009.fa,95.71,5.58,3781562,15734
D300518:bin_000015.fa,60.97,0.2,2172092,3664
D300518:bin_000018.fa,61.14,0.26,1948232,2901
D300518:bin_000021.fa,70.92,4.81,2230818,4521
D300519:bin_000010.fa,91.95,1.51,2458648,21637
D300519:bin_000021.fa,72.7,5.7,2470822,12593
D300520:bin_000001.fa,99.94,0.84,2581771,15525
D300520:bin_000003.fa,96.71,6.98,3053964,45443
D300520:bin_000011.fa,83.47,3.0,2025925,5871
D300521:bin_000012.fa,75.52,0.79,2061948,4217
D300522:bin_000002.fa,93.29,3.57,2815035,24204
D300524:bin_000003.fa,97.9,3.84,3545608,37715
D300524:bin_000005.fa,91.53,5.18,1986220,5833
D300524:bin_000008.fa,85.28,10.02,5201585,20988
D300526:bin_000006.fa,93.89,2.71,1570681,14729
D300528:bin_000002.fa,92.23,2.08,1559269,13383
D300529:bin_000009.fa,74.7,1.16,2319988,14806
GPB:bin_000002.fa,100.0,0.41,3812602,3812602
GPB:bin_000027.fa,94.05,0.03,2666572,2666572
GPB:bin_000040.fa,99.28,0.18,2134796,2134796
GPB:bin_000062.fa,97.12,0.63,3541602,3541602
GPB:bin_000064.fa,99.38,1.16,3058433,3058433
GPB:bin_000082.fa,100.0,0.54,2927264,2927264
GPB:bin_000093.fa,98.21,0.15,3476643,3476643
GPB:bin_000096.fa,96.01,1.12,3213053,3213053
GPB:bin_000102.fa,98.23,4.42,3849750,3849750
GPB:bin_000115.fa,100.0,1.58,4090285,4090285
GPB:bin_000126.fa,99.95,0.69,3431821,3431821
GPB:bin_000168.fa,97.11,1.91,2915354,1082054
GPB:bin_000176.fa,100.0,5.55,3870110,3218566
GPB:bin_000192.fa,94.94,5.18,3032106,386114
TG1:bin_000018.fa,95.55,11.89,2428346,13135
TG1:bin_000041.fa,89.45,5.41,3791654,8771
TG1:bin_000043.fa,90.89,6.74,3420274,4246
TG1:bin_000058.fa,70.52,4.21,3095297,4414
TG1_07:bin_000011.fa,96.94,4.48,3790104,37650
TG1_07:bin_000016.fa,85.16,5.12,2921223,33731
TG1_07:bin_000019.fa,83.14,8.47,3237179,12012
TG1_07:bin_000021.fa,95.07,3.22,5304321,29494
TG1_14:bin_000005.fa,90.94,1.26,2410673,8884
TG1_14:bin_000013.fa,81.07,1.48,2506353,5391
TG1_21:bin_000016.fa,87.02,7.2,2534245,11625
TG1_21:bin_000019.fa,89.13,5.77,2577044,6647
TG1_21:bin_000023.fa,73.54,10.04,1730924,27149
TG1_21:bin_000028.fa,85.34,5.75,2378424,14712
TG1_21:bin_000033.fa,87.28,6.28,3443696,11664
TG1_21:bin_000038.fa,73.2,2.27,2296472,9542
TG1_21:bin_000040.fa,79.62,9.93,3268242,8493
TG1_28:bin_000031.fa,82.72,5.08,3310741,13186
TG1_28:bin_000037.fa,82.02,6.81,2853092,10553
TG1_35:bin_000016.fa,86.55,1.3,2495054,13714
TG1_35:bin_000021.fa,87.85,7.69,3083147,29908
TG1_35:bin_000022.fa,91.11,5.18,2944569,23621
TG1_35:bin_000024.fa,83.62,14.81,3165640,23872
TG2:bin_000009.fa,90.26,5.46,3006546,13645
TG2:bin_000018.fa,94.37,5.13,2015159,11931
TG2:bin_000019.fa,91.49,4.61,2450271,6608
TG2:bin_000052.fa,83.27,7.5,3135681,9898
TG2_07:bin_000006.fa,99.61,3.82,2623250,27103
TG2_07:bin_000016.fa,87.47,8.21,3220902,28688
TG2_14:bin_000006.fa,93.7,9.92,3197202,29004
TG2_21:bin_000035.fa,66.08,1.96,2339390,2925
TG2_21:bin_000036.fa,99.03,2.7,2816304,11067
TG2_28:bin_000020.fa,85.68,2.77,2823951,32862
TG2_28:bin_000032.fa,61.39,3.0,1905777,3912
TG2_35:bin_000003.fa,96.05,1.17,2998445,30376
TG2_35:bin_000017.fa,84.51,6.61,2151136,10614
TG3:bin_000018.fa,96.83,6.75,2407445,40791
TG3:bin_000024.fa,84.95,7.91,3993736,4280
TG3:bin_000025.fa,92.0,6.91,3289722,21324
TG3:bin_000072.fa,62.44,2.85,2350530,3892
TG3_07:bin_000011.fa,91.15,6.43,2305853,9890
TG3_07:bin_000012.fa,95.7,4.59,3163759,28716
TG3_07:bin_000017.fa,83.4,2.63,3017229,28213
TG3_14:bin_000009.fa,84.17,3.47,3796925,4680
TG3_14:bin_000010.fa,96.94,6.79,3418272,18626
TG3_14:bin_000022.fa,84.33,3.72,3114528,3954
TG3_21:bin_000005.fa,94.62,3.46,2533560,25026
TG3_21:bin_000022.fa,92.9,3.69,2533271,17791
TG3_21:bin_000039.fa,80.74,6.3,2661154,7777
TG3_28:bin_000012.fa,100.0,9.13,2719593,16688
TG3_28:bin_000021.fa,86.66,6.67,2786582,23919
TG3_28:bin_000024.fa,71.3,2.63,3376037,3132
TG3_28:bin_000033.fa,74.41,1.57,1997921,5264
TG3_28:bin_000041.fa,76.3,1.01,2636481,7588
TG3_28:bin_000049.fa,85.2,1.46,2209456,13240
TG3_35:bin_000009.fa,99.92,3.76,2096123,27715
TG3_35:bin_000012.fa,91.45,2.45,2231320,22699
TG3_35:bin_000018.fa,95.81,9.59,2547914,20462
TG3_35:bin_000039.fa,84.21,6.46,3509655,15281
TG4:bin_000030.fa,88.53,4.04,1594258,6534
TG4:bin_000035.fa,77.6,3.35,3425901,12199
TG4:bin_000039.fa,75.78,4.87,2071958,8807
TG4:bin_000043.fa,70.91,3.37,2764751,4988
TG4:bin_000049.fa,81.21,11.17,2936454,13699
TG4:bin_000059.fa,53.68,0.8,1881536,4609
TG4_07:bin_000008.fa,91.64,7.21,2768757,19375
TG4_07:bin_000022.fa,87.88,4.08,3558153,16711
TG4_14:bin_000012.fa,93.79,12.35,3573175,34311
TG4_14:bin_000026.fa,75.53,4.34,3426147,6614
TG4_28:bin_000017.fa,99.78,7.92,4155808,36572
TG4_28:bin_000025.fa,96.14,12.82,4833035,26897
TG4_28:bin_000028.fa,60.54,4.0,1819425,6530
TG4_35:bin_000014.fa,90.16,4.32,2312768,6214
TG4_35:bin_000025.fa,75.11,0.93,2444712,8069
TG5:bin_000030.fa,82.38,8.3,2666725,11630
TG5:bin_000038.fa,61.92,3.46,2947442,2902
TG5_07:bin_000003.fa,100.0,4.93,2921883,19413
TG5_07:bin_000007.fa,89.74,8.86,5280901,14482
TG5_21:bin_000020.fa,94.69,6.88,3312206,33356
TG5_21:bin_000022.fa,75.02,4.12,3105540,5905
TG5_21:bin_000026.fa,81.59,3.99,2836905,6506
TG5_28:bin_000008.fa,90.12,3.41,2027080,39790
TG5_28:bin_000019.fa,83.49,3.47,2609064,13774
TG5_28:bin_000029.fa,80.4,2.92,2952553,6782
TG5_35:bin_000003.fa,100.0,0.84,2511019,28174
TG5_35:bin_000010.fa,86.92,2.15,2532346,10996
D300418:bin_000005.fa,97.98,4.33,2329122,10021
D300419:bin_000004.fa,94.52,5.78,2171392,9727
D300420:bin_000008.fa,92.73,0.73,2757755,20390
D300420:bin_000013.fa,92.21,8.7,2754469,14218
D300420:bin_000014.fa,83.99,5.58,3657381,12837
D300421:bin_000015.fa,75.59,3.14,1874339,4150
D300421:bin_000018.fa,92.75,27.73,4365756,23502
D300424:bin_000007.fa,83.19,3.44,2709604,12773
D300426:bin_000002.fa,90.88,0.13,2494935,45083
D300427:bin_000004.fa,98.07,1.84,1827135,40488
D300428:bin_000001.fa,91.78,1.36,2583878,29102
D300428:bin_000004.fa,85.91,0.95,1776245,13644
D300428:bin_000012.fa,78.52,2.83,2386536,16379
D300429:bin_000001.fa,93.27,2.31,2507500,18845
D300430:bin_000002.fa,97.86,4.18,3306331,16176
D300431:bin_000001.fa,90.46,2.05,2567645,19164
D300431:bin_000002.fa,100.0,1.88,4269434,65156
D300431:bin_000007.fa,90.33,5.73,2225823,8051
D300431:bin_000010.fa,90.22,7.74,3931844,20197
D300431:bin_000017.fa,68.39,3.07,2077366,4192
D300432:bin_000014.fa,68.83,2.51,2617288,3221
D300434:bin_000008.fa,89.68,5.62,3367214,23758
D300434:bin_000012.fa,80.8,4.19,2359261,10325
D300434:bin_000017.fa,71.55,1.24,2191518,4044
D300435:bin_000007.fa,92.92,3.72,3447678,16485
D300435:bin_000008.fa,87.4,4.46,4545656,40087
D300435:bin_000012.fa,93.1,8.82,3401472,32456
D300435:bin_000020.fa,84.97,12.63,3133554,19789
D300435:bin_000022.fa,74.61,6.94,3879681,10807
D300436:bin_000005.fa,92.85,5.92,4179504,5358
D300438:bin_000006.fa,95.1,2.6,2497240,37905
D300439:bin_000006.fa,90.27,3.66,1284777,14007
D300440:bin_000002.fa,94.15,0.69,2607320,29724
D300440:bin_000016.fa,51.06,2.58,1992375,2405
D300441:bin_000004.fa,94.25,2.72,3474651,65441
D300441:bin_000015.fa,77.24,3.19,2972567,12829
D300441:bin_000016.fa,60.33,1.28,1952696,2671
D300442:bin_000005.fa,97.31,7.36,4748484,49202
D300442:bin_000011.fa,82.4,1.99,2259775,9252
D300442:bin_000018.fa,55.58,1.88,1669275,5584
D300443:bin_000001.fa,99.11,2.35,2096423,14931
D300444:bin_000011.fa,79.34,2.1,3074978,9309
D300445:bin_000001.fa,90.24,2.04,2625504,34391
D300445:bin_000002.fa,100.0,0.86,2562186,33558
D300445:bin_000008.fa,94.84,1.77,2499579,18107
D300445:bin_000016.fa,72.58,1.04,2046472,4454
D300447:bin_000006.fa,89.33,5.1,4646188,40133
D300447:bin_000008.fa,84.4,5.65,2022031,7335
D300448:bin_000001.fa,99.14,0.73,2589419,27905
D300448:bin_000016.fa,71.59,1.16,2090355,2731
D300450:bin_000003.fa,96.49,5.28,4590402,49202
D300450:bin_000008.fa,93.16,32.7,8029858,18148
D300451:bin_000008.fa,87.9,0.01,2183701,5755
D300451:bin_000011.fa,94.36,7.33,3561445,31896
D300451:bin_000015.fa,79.8,1.57,2442698,7006
D300451:bin_000017.fa,86.1,5.32,2548640,11762
D300452:bin_000016.fa,88.28,7.6,4610973,11001
D300455:bin_000008.fa,91.1,4.6,2333248,8241
D300456:bin_000001.fa,88.99,1.81,2596788,19867
D300456:bin_000013.fa,83.57,3.56,2731461,16050
D300457:bin_000015.fa,75.9,2.67,2447871,8451
D300458:bin_000002.fa,95.86,2.53,1767130,15355
D300459:bin_000011.fa,82.32,5.23,2752964,22206
D300459:bin_000012.fa,79.74,4.07,4880381,14482
D300459:bin_000014.fa,78.34,2.99,2127083,5972
D300460:bin_000015.fa,76.57,2.15,2380627,6569
D300461:bin_000006.fa,95.0,3.38,2746027,20732
D300461:bin_000017.fa,77.35,4.02,3207456,9249
D300462:bin_000003.fa,100.0,20.98,7732077,32729
D300463:bin_000007.fa,93.54,22.41,6772085,18971
D300464:bin_000004.fa,92.74,5.11,2899387,31993
D300464:bin_000012.fa,85.68,6.01,1526664,17336
D300465:bin_000013.fa,78.32,1.72,2234833,3531
D300465:bin_000018.fa,73.5,12.46,3142290,9730
D300466:bin_000015.fa,78.35,8.44,2617310,6775
D300467:bin_000001.fa,99.93,1.34,1833317,43720
D300467:bin_000004.fa,100.0,8.99,5760750,33172
D300467:bin_000005.fa,87.96,2.72,1844368,11781
D300469:bin_000001.fa,92.97,2.89,2393631,14239
D300471:bin_000002.fa,96.41,4.96,2653389,17484
D300472:bin_000004.fa,88.5,3.43,2979410,3874
D300474:bin_000014.fa,74.45,2.44,3777744,7787
D300475:bin_000009.fa,90.08,3.49,2890248,13378
D300475:bin_000015.fa,87.56,4.1,1972849,10847
D300476:bin_000012.fa,75.26,9.59,4534302,8271
D300478:bin_000013.fa,82.1,6.09,1641415,19078
D300478:bin_000023.fa,69.97,4.7,2279582,4583
D300479:bin_000008.fa,99.97,3.68,4501653,74918
D300479:bin_000017.fa,86.32,0.1,2734154,8157
D300479:bin_000019.fa,92.38,27.39,4655812,4521
D300480:bin_000007.fa,84.46,6.05,3316062,22286
D300481:bin_000019.fa,57.36,1.39,1666952,3265
D300482:bin_000004.fa,99.98,3.59,2619987,38310
D300482:bin_000017.fa,71.27,5.22,2885325,2788
D300483:bin_000018.fa,69.18,5.87,2425730,9164
D300484:bin_000003.fa,98.2,2.77,2142583,16415
D300485:bin_000002.fa,93.65,3.66,2916292,18037
D300485:bin_000014.fa,79.31,2.38,2611582,21584
D300485:bin_000022.fa,65.74,2.84,2581752,8566
D300486:bin_000002.fa,94.97,2.46,2816234,19999
D300486:bin_000004.fa,95.79,5.19,4534419,42190
D300486:bin_000013.fa,80.66,4.3,2571796,6047
D300488:bin_000001.fa,96.66,1.21,2947246,38482
D300489:bin_000008.fa,94.75,6.99,2258759,12746
D300490:bin_000003.fa,97.39,1.79,1777436,18673
D300490:bin_000005.fa,91.49,0.68,2619083,20959
D300491:bin_000012.fa,84.15,3.26,3249365,10599
D300492:bin_000007.fa,91.68,2.74,2972799,27800
D300494:bin_000004.fa,96.56,2.19,2585693,27546
D300495:bin_000010.fa,87.22,2.96,1733997,10391
D300495:bin_000011.fa,91.1,5.23,2651742,10427
D300501:bin_000007.fa,99.93,13.61,6370289,24581
D300501:bin_000009.fa,86.9,8.69,3153594,26110
D300501:bin_000011.fa,89.13,4.3,3541133,11600
D300502:bin_000006.fa,91.58,1.48,3266284,43209
D300503:bin_000001.fa,100.0,0.68,2447508,15851
D300504:bin_000013.fa,77.3,2.43,2181485,6316
D300505:bin_000010.fa,56.76,3.33,1528253,2739
D300506:bin_000008.fa,89.42,3.95,3418060,16869
D300506:bin_000010.fa,95.57,2.13,3850077,52865
D300507:bin_000008.fa,94.92,5.72,2456509,11078
D300508:bin_000011.fa,66.6,1.16,2561245,6320
D300508:bin_000012.fa,78.98,6.13,2578973,13995
D300508:bin_000017.fa,43.98,0.25,1307945,2475
D300509:bin_000004.fa,93.83,6.65,1469856,16436
D300509:bin_000006.fa,95.71,2.66,2342342,26481
D300510:bin_000012.fa,79.81,8.87,3753932,8299
D300510:bin_000013.fa,70.88,3.26,1675947,3603
D300511:bin_000007.fa,86.36,6.69,2688720,8209
D300512:bin_000013.fa,91.65,7.52,3510703,15007
D300514:bin_000004.fa,92.83,1.04,2455571,7071
D300514:bin_000014.fa,77.62,6.59,2591644,10011
D300515:bin_000009.fa,90.24,1.91,3072196,6650
D300515:bin_000013.fa,83.14,10.51,3184566,17448
D300517:bin_000004.fa,90.97,1.92,1461560,16394
D300517:bin_000010.fa,97.75,4.92,3507900,24434
D300518:bin_000002.fa,96.44,3.74,2598800,25174
D300519:bin_000005.fa,97.99,7.29,2842277,15143
D300519:bin_000006.fa,93.76,0.44,2474647,11478
D300519:bin_000013.fa,80.41,5.19,2118899,7505
D300520:bin_000008.fa,89.65,2.38,1672135,6961
D300520:bin_000009.fa,98.52,2.9,3335878,32546
D300521:bin_000020.fa,83.91,4.43,2693176,10260
D300523:bin_000001.fa,100.0,1.38,3498504,24519
D300523:bin_000006.fa,93.94,4.3,2215182,10774
D300523:bin_000018.fa,64.99,2.5,2477778,7383
D300525:bin_000010.fa,78.69,1.71,3601912,4295
D300526:bin_000008.fa,77.46,1.63,1732462,5060
D300527:bin_000007.fa,91.15,5.97,4066175,29661
D300528:bin_000014.fa,72.02,18.71,3385548,11358
D300529:bin_000002.fa,96.72,0.01,2626439,18622
D300529:bin_000005.fa,93.2,8.89,3208994,24216
GPB:bin_000022.fa,96.95,1.36,3743724,3743724
GPB:bin_000031.fa,100.0,1.45,3854564,3854564
GPB:bin_000038.fa,97.86,1.07,3873669,3873669
GPB:bin_000052.fa,98.88,0.31,1980020,1980020
GPB:bin_000053.fa,100.0,1.15,3100452,3100452
GPB:bin_000055.fa,100.0,0.21,3483147,3483147
GPB:bin_000074.fa,100.0,7.96,3757461,3757461
GPB:bin_000080.fa,97.57,0.62,2971752,2971752
GPB:bin_000081.fa,97.74,0.37,3668687,3668687
GPB:bin_000086.fa,100.0,0.33,3253195,3253195
GPB:bin_000132.fa,98.72,0.07,2264388,2264388
GPB:bin_000139.fa,95.43,0.47,2417168,1552294
GPB:bin_000194.fa,98.51,2.07,3622959,633758
GPB:bin_000197.fa,99.99,1.61,4150567,2121798
GPB:bin_000206.fa,82.72,0.1,1931357,1255750
GPB:bin_000214.fa,81.02,3.71,2873421,354981
GPB:bin_000215.fa,96.93,2.11,4059014,2534162
TG1:bin_000003.fa,93.72,2.92,2925579,34039
TG1:bin_000004.fa,90.99,1.48,2743440,49592
TG1:bin_000026.fa,92.27,7.26,2676176,7929
TG1:bin_000065.fa,62.11,2.33,2987929,2718
TG1_07:bin_000005.fa,93.41,1.25,2586042,41514
TG1_07:bin_000015.fa,85.75,8.05,3925443,29793
TG1_14:bin_000006.fa,95.73,9.01,2434317,13233
TG1_21:bin_000008.fa,100.0,1.13,2480369,20981
TG1_21:bin_000013.fa,96.36,4.63,2670715,34595
TG1_21:bin_000024.fa,90.71,13.55,1822322,31986
TG1_21:bin_000035.fa,82.21,12.8,3502275,11843
TG1_21:bin_000044.fa,67.16,9.24,2458419,6684
TG1_28:bin_000010.fa,99.71,1.39,2104156,18408
TG1_28:bin_000043.fa,79.59,3.41,2190483,7573
TG1_28:bin_000045.fa,74.62,6.91,2688970,6755
TG1_35:bin_000002.fa,97.84,2.2,2893114,22054
TG1_35:bin_000003.fa,89.17,2.01,2613615,54391
TG1_35:bin_000015.fa,85.26,6.23,2365477,8210
TG1_35:bin_000026.fa,71.49,1.67,2691126,5267
TG2:bin_000002.fa,100.0,0.02,3002895,53211
TG2:bin_000016.fa,95.08,4.13,1549550,117873
TG2:bin_000029.fa,79.66,2.35,2934164,6081
TG2:bin_000057.fa,78.32,4.8,2707293,8431
TG2_07:bin_000026.fa,67.16,1.72,2400725,4546
TG2_14:bin_000021.fa,69.92,2.25,2414976,3526
TG2_21:bin_000005.fa,100.0,2.8,2619786,32729
TG2_21:bin_000011.fa,94.26,0.44,1428992,77172
TG2_21:bin_000019.fa,94.23,12.22,4593120,34579
TG2_21:bin_000023.fa,82.78,13.07,4422203,7443
TG2_21:bin_000024.fa,86.66,5.71,2889749,15506
TG3:bin_000016.fa,89.89,0.02,2127136,20351
TG3:bin_000059.fa,76.54,4.8,2263961,12413
TG3:bin_000076.fa,60.5,4.19,2033282,7693
TG3_07:bin_000015.fa,91.78,9.11,2936562,18936
TG3_07:bin_000026.fa,66.69,1.02,2582803,4659
TG3_14:bin_000028.fa,70.92,0.6,2197244,7030
TG3_14:bin_000030.fa,77.81,4.91,2907774,7404
TG3_14:bin_000031.fa,57.04,3.12,2325245,4716
TG3_14:bin_000032.fa,73.23,2.21,2335457,18312
TG3_21:bin_000009.fa,93.65,7.64,1994641,7631
TG3_21:bin_000017.fa,90.67,8.79,4205738,37731
TG3_21:bin_000020.fa,94.15,6.94,2547273,13339
TG3_21:bin_000046.fa,93.53,13.38,3570993,22510
TG3_28:bin_000020.fa,91.9,8.12,3811817,32592
TG3_28:bin_000037.fa,86.16,13.17,2854306,16198
TG3_28:bin_000042.fa,91.64,1.6,2678215,13623
TG3_35:bin_000001.fa,99.76,0.66,1875236,86203
TG3_35:bin_000019.fa,97.74,4.19,3903134,20964
TG3_35:bin_000029.fa,93.06,5.94,3298151,36732
TG4:bin_000002.fa,99.99,3.36,2182187,50044
TG4:bin_000023.fa,84.77,13.94,3513022,20990
TG4:bin_000025.fa,86.78,11.83,4854070,12193
TG4:bin_000027.fa,86.39,12.22,4149243,11248
TG4:bin_000040.fa,52.97,1.72,2580296,2740
TG4:bin_000046.fa,71.32,1.76,2893461,6222
TG4_07:bin_000012.fa,91.81,4.61,2651258,15866
TG4_07:bin_000018.fa,78.69,1.82,2772808,9964
TG4_07:bin_000028.fa,56.49,0.13,2269409,3567
TG4_14:bin_000011.fa,100.0,9.42,5542175,37066
TG4_14:bin_000025.fa,79.33,11.72,3563954,4874
TG4_21:bin_000015.fa,84.56,3.39,2682452,8384
TG4_21:bin_000035.fa,71.87,3.01,1965062,10092
TG4_28:bin_000001.fa,92.49,1.69,2686585,47533
TG4_28:bin_000022.fa,69.6,2.87,2850352,5935
TG4_35:bin_000003.fa,99.92,2.04,4664476,9053
TG4_35:bin_000005.fa,99.57,5.54,2434225,39305
TG4_35:bin_000011.fa,91.45,8.51,5579981,13089
TG4_35:bin_000018.fa,100.0,11.84,5000794,42744
TG5:bin_000036.fa,79.81,5.07,2522759,20470
TG5:bin_000050.fa,72.57,3.69,2734738,6461
