,type,total_edges,co-occurrence,co-exclusion,competition,cooperation
Clostridium_AQ,taxon,12,1,2,6,3
Ruthenibacterium,taxon,12,3,1,6,2
Holdemania,taxon,12,2,1,5,4
Klebsiella,taxon,12,4,0,4,4
unclassified_CAG-508,taxon,11,3,0,5,3
Rubneribacter,taxon,11,3,2,4,2
L-Arginine,metavar,10,7,3,0,0
L-Leucine,metavar,10,10,0,0,0
Faecalibacterium,taxon,10,3,1,6,0
Akkermansia,taxon,10,3,1,5,1
L-Aspartic Acid,metavar,9,7,2,0,0
Pullichristensenella,taxon,9,2,1,4,2
L-Isoleucine,metavar,9,9,0,0,0
L-Valine,metavar,9,7,2,0,0
L-Asparagine,metavar,9,7,2,0,0
L-Alanine,metavar,8,8,0,0,0
L-Tyrosine,metavar,8,6,2,0,0
L-Glutamine,metavar,8,7,1,0,0
CAG-269,taxon,8,2,0,4,2
L-Glutamic acid,metavar,8,7,1,0,0
Galloscillospira_A,taxon,8,2,1,3,2
Ruminococcus_G,taxon,7,2,0,4,1
L-Tryptophan,metavar,7,6,1,0,0
L-Phenylalanine,metavar,7,7,0,0,0
Total_removed_abd,metavar,7,2,5,0,0
L-Threonine,metavar,7,7,0,0,0
L-Methionine,metavar,6,4,2,0,0
L-Serine,metavar,6,5,1,0,0
L-Proline,metavar,6,5,1,0,0
Scatavimonas,taxon,6,1,1,3,1
Nicotinic acid,metavar,6,5,1,0,0
Scatomorpha,taxon,6,3,0,3,0
Fimimorpha,taxon,6,1,1,3,1
Tyzzerella,taxon,5,2,0,2,1
Salmonella,taxon,5,1,0,2,2
Streptococcus,taxon,5,1,0,2,2
Proteus,taxon,5,2,0,2,1
Alangreenwoodia,taxon,5,1,0,2,2
Niacinamide,metavar,5,4,1,0,0
Faecivivens,taxon,5,1,1,2,1
Evtepia,taxon,5,3,0,1,1
CAJFPI01,taxon,5,1,0,2,2
L-Histidine,metavar,4,4,0,0,0
Enterenecus,taxon,4,1,0,2,1
Pantothenic acid,metavar,4,3,1,0,0
Ornithomonoglobus_A,taxon,4,1,0,2,1
HGM12998,taxon,3,1,0,2,0
Fimicola,taxon,3,2,0,1,0
Pyridoxamine,metavar,3,3,0,0,0
Metalachnospira,taxon,3,0,2,1,0
Timburyella,taxon,3,1,0,1,1
Thiamine,metavar,3,3,0,0,0
L-Lysine,metavar,3,3,0,0,0
Pyridoxine,metavar,3,2,1,0,0
Gallispira,taxon,3,2,1,0,0
a-Tocopheryl acetate,metavar,2,0,2,0,0
Riboflavin,metavar,2,2,0,0,0
Bifidobacterium,taxon,1,1,0,0,0
