,occurrences_across_networks,interaction_types
L-Alanine-L-Threonine,2,{'co-occurrence'}
unclassified_Choladocola-An181 sp002160325,2,"{'co-occurrence', 'competition'}"
UBA1417 sp900552925-Lachnoclostridium_A stercoripullorum,2,"{'co-exclusion', 'competition'}"
Enterocloster excrementipullorum-Clostridium_Q saccharolyticum_A,2,"{'co-occurrence', 'competition'}"
UBA1417 sp900552925-Clostridium_Q saccharolyticum_A,2,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter faecigallinarum-Mediterraneibacter faecipullorum,2,"{'co-occurrence', 'competition'}"
Coproplasma stercorigallinarum-Massilimicrobiota merdigallinarum,2,"{'cooperation', 'co-exclusion', 'competition'}"
Faecousia gallistercoris-Gallacutalibacter pullicola,2,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter stercoravium-Merdivicinus intestinigallinarum,2,"{'co-occurrence', 'competition'}"
Acutalibacter ornithocaccae-Merdivicinus intestinigallinarum,2,"{'co-occurrence', 'competition'}"
Merdivicinus intestinigallinarum-treatment_TG2,2,{'co-exclusion'}
Ornithomonoglobus merdipullorum-Anaerotignum lactatifermentans,2,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Choladocola-Mediterraneibacter sp900761655,2,"{'co-occurrence', 'competition'}"
Intestinimonas pullistercoris-Mediterraneibacter excrementipullorum,2,"{'cooperation', 'co-exclusion', 'competition'}"
Fimenecus stercoravium-Lachnoclostridium_A avicola,2,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter avistercoris-Borkfalkia excrementigallinarum,2,"{'co-occurrence', 'competition'}"
Niacinamide-Nicotinic acid,2,"{'co-occurrence', 'co-exclusion'}"
Acutalibacter stercoravium-Coprocola pullicola,2,"{'co-exclusion', 'competition'}"
Gordonibacter urolithinfaciens-Mediterraneibacter faecigallinarum,2,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-treatment_TG2,2,{'co-occurrence'}
Clostridium_Q saccharolyticum_A-Ligilactobacillus salivarius,2,"{'co-exclusion', 'competition'}"
Pararuminococcus gallinarum-Enterocloster sp944384065,2,"{'co-occurrence', 'competition'}"
L-Threonine-L-Glutamine,2,{'co-occurrence'}
L-Leucine-L-Methionine,2,{'co-occurrence'}
Lawsonibacter sp900545895-Enterocloster excrementigallinarum,2,"{'co-occurrence', 'competition'}"
Acutalibacter ornithocaccae-Mediterraneibacter faecigallinarum,2,"{'co-occurrence', 'competition', 'co-exclusion'}"
Dysosmobacter avistercoris-Copromonas faecavium,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Arginine-L-Tryptophan,2,{'co-occurrence'}
Gallacutalibacter pullicola-L-Arginine,2,{'co-exclusion'}
Heritagella sp905215105-Blautia stercorigallinarum,2,"{'co-occurrence', 'competition'}"
Agathobaculum intestinigallinarum-Intestinimonas pullistercoris,2,"{'co-exclusion', 'competition'}"
Faeciplasma gallinarum-Heteroclostridium caecigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
L-Alanine-L-Serine,2,{'co-occurrence'}
unclassified_Onthovicinus-unclassified_Mediterraneibacter,2,"{'co-occurrence', 'cooperation', 'competition', 'co-exclusion'}"
Borkfalkia sp904373255-treatment_TG4,2,{'co-occurrence'}
Alistipes excrementavium-unclassified_Onthovicinus,2,"{'co-occurrence', 'cooperation', 'co-exclusion', 'competition'}"
Onthovicinus excrementipullorum-Mediterraneibacter vanvlietii,2,"{'co-occurrence', 'competition'}"
Anaerotignum merdipullorum-Enterocloster excrementigallinarum,2,"{'co-occurrence', 'cooperation', 'competition'}"
Intestinimonas pullistercoris-Faecousia gallistercoris,2,"{'co-occurrence', 'cooperation', 'competition'}"
Flavonifractor avistercoris-Dysosmobacter pullicola,2,"{'co-exclusion', 'competition'}"
Faecalibacterium faecigallinarum-L-Phenylalanine,1,{'co-occurrence'}
L-Valine-L-Isoleucine,1,{'co-occurrence'}
Avimicrobium caecorum-treatment_TG1,1,{'co-occurrence'}
L-Lysine-L-Arginine,1,{'co-occurrence'}
unclassified_Oscillospiraceae-treatment_TG1,1,{'co-occurrence'}
Anaerostipes butyraticus-L-Tyrosine,1,{'co-exclusion'}
Acutalibacter sp900755895-Ligilactobacillus salivarius,1,"{'cooperation', 'co-exclusion', 'competition'}"
Agathobaculum sp900291975-L-Serine,1,{'co-occurrence'}
L-Phenylalanine-L-Tryptophan,1,{'co-occurrence'}
Mediterraneibacter pullicola-Total_removed_abd,1,{'co-occurrence'}
Anaerotignum merdipullorum-Total_removed_abd,1,{'co-occurrence'}
Mediterraneibacter pullicola-Ligilactobacillus salivarius,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pullilachnospira stercoravium-L-Histidine,1,{'co-occurrence'}
L-Glutamine-Thiamine,1,{'co-occurrence'}
Pullichristensenella excrementipullorum-treatment_TG5,1,{'co-occurrence'}
Limosilactobacillus reuteri_E-Niacinamide,1,{'co-occurrence'}
Ornithomonoglobus merdipullorum-L-Proline,1,{'co-occurrence'}
Lactobacillus johnsonii-L-Aspartic Acid,1,{'co-occurrence'}
unclassified_Blautia_A-treatment_TG1,1,{'co-exclusion'}
Mediterraneibacter intestinigallinarum-treatment_TG1,1,{'co-occurrence'}
Avimicrobium caecorum-Pyridoxine,1,{'co-occurrence'}
Borkfalkia sp017886545-treatment_TG1,1,{'co-occurrence'}
L-Glutamic acid-Pyridoxine,1,{'co-exclusion'}
Coproplasma avistercoris-treatment_TG4,1,{'co-occurrence'}
Gallacutalibacter pullicola-treatment_TG4,1,{'co-exclusion'}
Gordonibacter urolithinfaciens-L-Glutamic acid,1,{'co-occurrence'}
Acutalibacter stercoravium-L-Aspartic Acid,1,{'co-exclusion'}
Anaerostipes excrementavium-treatment_TG3,1,{'co-occurrence'}
Eisenbergiella merdavium-treatment_TG3,1,{'co-occurrence'}
Spyradocola merdavium-treatment_TG2,1,{'co-exclusion'}
Choladocola sp944381625-treatment_TG2,1,{'co-exclusion'}
Coprocola pullicola-L-Glutamic acid,1,{'co-occurrence'}
Anaerostipes butyraticus-L-Leucine,1,{'co-occurrence'}
Mediterraneibacter merdavium-Pantothenic acid,1,{'co-occurrence'}
Galloscillospira_A stercoripullorum-treatment_TG2,1,{'co-occurrence'}
Scatomorpha sp900759385-treatment_TG5,1,{'co-occurrence'}
Pyridoxamine-Pyridoxine,1,{'co-occurrence'}
Acutalibacter sp900755895-L-Asparagine,1,{'co-exclusion'}
Enterocloster excrementigallinarum-L-Arginine,1,{'co-exclusion'}
L-Asparagine-L-Threonine,1,{'co-occurrence'}
unclassified_Blautia-Thomasclavelia spiroformis,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp019424865-Ligilactobacillus salivarius,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerobutyricum faecale-Anaerobutyricum stercoris,1,"{'co-exclusion', 'competition'}"
Faecalibacterium faecigallinarum-Anaerostipes butyraticus,1,"{'co-occurrence', 'competition'}"
Neoanaerotignum_A tabaqchaliae-Anaerostipes butyraticus,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Merdivicinus excrementipullorum-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'competition'}"
Gemmiger avicola-Heteroclostridium caecigallinarum,1,{'co-exclusion'}
Angelakisella sp904420255-Heteroclostridium caecigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
UBA4716 sp905215805-Borkfalkia ceftriaxoniphila,1,"{'co-occurrence', 'cooperation', 'competition'}"
Choladocola avistercoris-Borkfalkia ceftriaxoniphila,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp019424865-Borkfalkia excrementigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter faecalis-Borkfalkia faecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Onthovicinus-Borkfalkia faecigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Blautia_A-Borkfalkia faecigallinarum,1,"{'co-occurrence', 'competition'}"
Lawsonibacter sp019424865-Borkfalkia sp904373255,1,"{'co-exclusion', 'competition'}"
UBA1417 sp900552925-Borkfalkia sp904373255,1,"{'co-occurrence', 'competition'}"
Onthovicinus excrementipullorum-Borkfalkia sp904373255,1,"{'co-occurrence', 'competition'}"
Pullilachnospira stercoravium-Anaerostipes excrementavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecousia gallistercoris-Anaerobutyricum stercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Ornithomonoglobus sp904420525-Limosilactobacillus reuteri_E,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter merdavium-Fimimorpha faecalis,1,"{'co-occurrence', 'competition'}"
Negativibacillus faecipullorum-Mediterraneibacter intestinigallinarum,1,"{'co-exclusion', 'competition'}"
Agathobaculum stercoravium-Copromonas faecavium,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Mediterraneibacter norwichensis,1,"{'cooperation', 'co-exclusion', 'competition'}"
UMGS1370 sp904395885-Mediterraneibacter norwichensis,1,"{'co-exclusion', 'competition'}"
Dysosmobacter pullicola-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gordonibacter urolithinfaciens-Merdimonas faecis,1,"{'co-occurrence', 'competition'}"
Evtepia gabavorous-Merdimonas faecis,1,{'co-occurrence'}
UBA4716 sp905215805-Pullilachnospira stercoravium,1,"{'co-occurrence', 'competition'}"
Copromonas faecavium-Pullilachnospira stercoravium,1,"{'co-exclusion', 'competition'}"
Fimenecus stercoravium-Caccovicinus sp017889125,1,"{'co-occurrence', 'competition'}"
Scatomorpha sp900759385-Mediterraneibacter sp944381495,1,"{'co-occurrence', 'competition'}"
CAG-273 sp944392105-Lachnoclostridium_A sp002160755,1,"{'cooperation', 'co-exclusion', 'competition'}"
Merdisoma sp002160825-Lachnoclostridium_A sp002160755,1,"{'co-occurrence', 'competition'}"
Evtepia gabavorous-Anaerobutyricum faecale,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter vanvlietii-Anaerobutyricum faecale,1,"{'co-occurrence', 'cooperation', 'competition'}"
Clostridium_Q saccharolyticum_A-Borkfalkia sp904373255,1,"{'co-occurrence', 'cooperation', 'competition'}"
Eisenbergiella merdavium-Borkfalkia sp904374385,1,"{'co-occurrence', 'competition'}"
Anaerostipes excrementavium-Borkfalkia sp904374385,1,"{'co-exclusion', 'competition'}"
Dysosmobacter avistercoris-Borkfalkia sp017886545,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter intestinavium-Harrysmithimonas galli,1,"{'co-exclusion', 'competition'}"
Agathobaculum intestinigallinarum-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter intestinavium-Thomasclavelia spiroformis,1,"{'co-exclusion', 'competition'}"
Heritagella sp905215105-Clostridium_AQ sp900552125,1,"{'co-occurrence', 'cooperation', 'competition'}"
Coproplasma avistercoris-Clostridium_AQ sp900552125,1,"{'cooperation', 'co-exclusion', 'competition'}"
Akkermansia sp905200945-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faeciplasma gallinarum-unclassified_Merdibacter,1,"{'co-occurrence', 'competition'}"
unclassified_CAG-269-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Heteroclostridium caecigallinarum-unclassified_Merdibacter,1,"{'co-occurrence', 'cooperation', 'competition'}"
Blautia stercorigallinarum-Merdibacter merdigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_CAG-273-Holdemania filiformis,1,"{'cooperation', 'co-exclusion', 'competition'}"
Mediterraneibacter avicola-Holdemania filiformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
UMGS775 sp900545325-Holdemania filiformis,1,"{'co-occurrence', 'cooperation', 'competition'}"
Fimenecus stercoravium-Streptococcus alactolyticus,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter asaccharolyticus-Lactobacillus crispatus,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecivivens stercoravium-Harrysmithimonas galli,1,"{'co-occurrence', 'cooperation', 'competition'}"
Coproplasma avistercoris-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Ornithomonoglobus merdipullorum-Pullichristensenella excrementipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Blautia stercorigallinarum-Coproplasma avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Gemmiger stercoravium-Scatosoma sp900555925,1,"{'co-occurrence', 'competition'}"
Fimimorpha faecalis-Scatosoma sp900555925,1,"{'cooperation', 'co-exclusion', 'competition'}"
Rubneribacter badeniensis-Gallimonas merdigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Lachnoclostridium_A stercoripullorum-Gallimonas merdigallinarum,1,"{'co-occurrence', 'competition'}"
CAG-273 sp944392105-Coproplasma avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Neoanaerotignum_A tabaqchaliae-Coproplasma avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lachnoclostridium_A sp002160755-Coproplasma avistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Fimenecus stercoravium-Pullichristensenella excrementipullorum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Choladocola avistercoris-Coproplasma stercorigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Eisenbergiella merdigallinarum-Coproplasma stercorigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Caccousia avistercoris-UMGS775 sp900545325,1,"{'co-occurrence', 'competition'}"
Pararuminococcus gallinarum-UMGS775 sp900545325,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_CAG-273-Spyradocola merdavium,1,"{'co-occurrence', 'cooperation', 'competition'}"
Heteroclostridium caecigallinarum-Spyradocola merdavium,1,"{'cooperation', 'co-exclusion', 'competition'}"
Flavonifractor plautii-Flavonifractor avistercoris,1,"{'co-exclusion', 'competition'}"
Proteus mirabilis-Flavonifractor plautii,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum intestinigallinarum-Lawsonibacter asaccharolyticus,1,"{'co-exclusion', 'competition'}"
Intestinimonas timonensis-Lawsonibacter pullicola,1,"{'co-occurrence', 'competition'}"
Mediterraneibacter merdigallinarum-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_CAG-508-UMGS775 sp900545325,1,"{'co-occurrence', 'cooperation', 'competition'}"
Akkermansia sp905200945-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
unclassified_Lawsonibacter-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
Merdisoma sp944375745-Spyradocola merdavium,1,"{'co-occurrence', 'competition'}"
unclassified_CAJFPI01-Alangreenwoodia sp905206455,1,"{'co-occurrence', 'cooperation', 'competition'}"
Roslinia sp019419865-Romboutsia sp904418825,1,"{'co-occurrence', 'cooperation', 'competition'}"
Acutalibacter pullistercoris-Harrysmithimonas galli,1,"{'co-occurrence', 'cooperation', 'competition'}"
Coprocola pullicola-Harrysmithimonas galli,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pararuminococcus gallinarum-Thomasclavelia ramosa,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_CAG-508-Thomasclavelia ramosa,1,"{'co-occurrence', 'cooperation', 'competition'}"
Heteroclostridium caecigallinarum-Thomasclavelia ramosa,1,"{'cooperation', 'co-exclusion', 'competition'}"
Agathobaculum sp900557315-Massilimicrobiota sp002160865,1,"{'co-exclusion', 'competition'}"
unclassified_Onthovicinus-Massilimicrobiota sp002160865,1,"{'co-exclusion', 'competition'}"
unclassified_Mediterraneibacter-Massilimicrobiota sp002160865,1,"{'co-occurrence', 'competition'}"
Acutalibacter sp900755895-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Intestinimonas-Coproplasma stercorigallinarum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Intestinimonas pullistercoris-Coproplasma stercorigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pararuminococcus gallinarum-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Mediterraneibacter norwichensis-Mediterraneibacter vanvlietii,1,"{'co-occurrence', 'competition'}"
Fimenecus stercoravium-Mediterraneibacter sp944381495,1,"{'co-occurrence', 'competition'}"
Ornithomonoglobus merdipullorum-Lachnoclostridium_A avicola,1,"{'co-occurrence', 'competition'}"
Blautia_A intestinavium-Hungatella_B pullicola,1,"{'co-occurrence', 'competition'}"
Lachnoclostridium_B sp002160985-Anaerobutyricum stercoris,1,"{'co-exclusion', 'competition'}"
Caccousia avistercoris-Heteroclostridium caecigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Negativibacillus faecipullorum-Borkfalkia ceftriaxoniphila,1,"{'cooperation', 'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Scatosoma sp904419075,1,"{'co-occurrence', 'cooperation', 'competition'}"
An181 sp002160325-Borkfalkia ceftriaxoniphila,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter faecalis-Borkfalkia excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Lachnoclostridium_A sp002160755-Borkfalkia sp904373255,1,"{'co-occurrence', 'cooperation', 'competition'}"
Pullilachnospira stercoravium-Borkfalkia sp904374385,1,"{'co-occurrence', 'cooperation', 'competition'}"
Borkfalkia sp904373255-Borkfalkia sp017886545,1,"{'co-occurrence', 'competition'}"
Eisenbergiella merdigallinarum-Scatosoma sp900555925,1,"{'co-occurrence', 'competition'}"
Agathobaculum sp900557315-Massilimicrobiota merdigallinarum,1,{'co-exclusion'}
Scatosoma sp900555925-Massilimicrobiota merdigallinarum,1,"{'co-occurrence', 'competition'}"
Fimenecus stercoravium-Thomasclavelia spiroformis,1,"{'co-occurrence', 'competition'}"
Ornithomonoglobus merdipullorum-L-Methionine,1,{'co-occurrence'}
Lachnoclostridium_A avicola-L-Proline,1,{'co-occurrence'}
Caccovicinus merdipullorum-L-Valine,1,{'co-exclusion'}
Evtepia gabavorous-L-Isoleucine,1,{'co-occurrence'}
Eisenbergiella merdigallinarum-L-Isoleucine,1,{'co-occurrence'}
L-Valine-L-Leucine,1,{'co-occurrence'}
Eisenbergiella merdigallinarum-L-Aspartic Acid,1,{'co-occurrence'}
unclassified_Gallispira-Pyridoxamine,1,{'co-occurrence'}
Lawsonibacter sp900545895-L-Proline,1,{'co-occurrence'}
Thomasclavelia spiroformis-L-Arginine,1,{'co-occurrence'}
L-Glutamic acid-L-Arginine,1,{'co-occurrence'}
L-Arginine-L-Tyrosine,1,{'co-occurrence'}
L-Threonine-L-Tryptophan,1,{'co-occurrence'}
L-Methionine-L-Tryptophan,1,{'co-occurrence'}
L-Alanine-Thiamine,1,{'co-occurrence'}
Mediterraneibacter sp944381495-L-Proline,1,{'co-exclusion'}
Anaerobutyricum stercoris-Pantothenic acid,1,{'co-occurrence'}
Gemmiger stercoravium-Merdibacter merdigallinarum,1,"{'co-occurrence', 'competition'}"
Metalachnospira gallinarum-treatment_TG1,1,{'co-exclusion'}
Lachnoclostridium_B sp002160985-Lactobacillus crispatus,1,"{'cooperation', 'co-exclusion', 'competition'}"
Mediterraneibacter vanvlietii-Lactobacillus gallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Negativibacillus faecipullorum-Limosilactobacillus reuteri_E,1,"{'cooperation', 'co-exclusion', 'competition'}"
Anaerostipes butyraticus-Limosilactobacillus reuteri_E,1,"{'co-occurrence', 'cooperation', 'competition'}"
Borkfalkia sp904374385-Limosilactobacillus reuteri_E,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lactobacillus gallinarum-Limosilactobacillus reuteri_E,1,"{'co-occurrence', 'cooperation', 'competition'}"
Massilimicrobiota sp002160865-treatment_TG1,1,{'co-exclusion'}
Lachnoclostridium_A sp002160755-L-Asparagine,1,{'co-occurrence'}
Pararuminococcus gallinarum-treatment_TG2,1,{'co-occurrence'}
Heteroclostridium caecigallinarum-treatment_TG2,1,{'co-occurrence'}
Borkfalkia sp904374385-treatment_TG3,1,{'co-occurrence'}
Merdisoma sp002160825-treatment_TG4,1,{'co-occurrence'}
Blautia stercorigallinarum-treatment_TG4,1,{'co-occurrence'}
Caccovicinus sp017889125-treatment_TG5,1,{'co-occurrence'}
Choladocola avistercoris-Caccovicinus sp017889125,1,"{'co-occurrence', 'competition'}"
Onthovicinus excrementipullorum-Pullilachnospira stercoravium,1,"{'co-occurrence', 'competition'}"
Caccovicinus merdipullorum-Enterocloster excrementigallinarum,1,"{'co-occurrence', 'competition'}"
Faeciplasma gallinarum-Avimicrobium caecorum,1,"{'co-exclusion', 'competition'}"
Gemmiger avicola-Lachnoclostridium_A stercorigallinarum,1,"{'co-exclusion', 'competition'}"
Escherichia coli-Merdivicinus intestinigallinarum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Faecousia gallistercoris-Faecalibacterium faecigallinarum,1,"{'co-exclusion', 'competition'}"
Heritagella sp905215105-Faecalibacterium faecigallinarum,1,"{'co-occurrence', 'competition'}"
Pseudobutyricicoccus lothianensis-Gemmiger avicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
unclassified_Lawsonibacter-Gemmiger avicola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaerotruncus colihominis-Ornithomonoglobus merdipullorum,1,"{'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Merdivicinus excrementipullorum,1,"{'cooperation', 'co-exclusion', 'competition'}"
Gordonibacter urolithinfaciens-Roslinia sp019419865,1,"{'co-occurrence', 'cooperation', 'competition'}"
Rubneribacter badeniensis-unclassified_Gallispira,1,{'co-exclusion'}
Escherichia coli-Anaerotignum merdipullorum,1,"{'co-occurrence', 'cooperation', 'competition'}"
Agathobaculum sp900291975-Anaerotignum lactatifermentans,1,"{'co-occurrence', 'cooperation', 'competition'}"
Dysosmobacter pullicola-unclassified_Choladocola,1,"{'co-occurrence', 'cooperation', 'competition'}"
Anaeromassilibacillus stercoravium-unclassified_Choladocola,1,"{'co-occurrence', 'competition'}"
Acutalibacter pullistercoris-Merdivicinus excrementipullorum,1,"{'co-occurrence', 'competition'}"
Acutalibacter pullistercoris-Faeciplasma gallinarum,1,"{'co-occurrence', 'competition'}"
Merdivicinus intestinigallinarum-Merdisoma faecalis,1,"{'co-occurrence', 'competition'}"
Acutalibacter pullistercoris-Caccousia avistercoris,1,"{'co-occurrence', 'competition'}"
Flavonifractor plautii-Pelethomonas intestinigallinarum,1,"{'co-exclusion', 'competition'}"
Escherichia coli-Faecousia gallistercoris,1,"{'co-occurrence', 'cooperation', 'competition'}"
Lawsonibacter sp900545895-Acutalibacter stercoravium,1,"{'co-occurrence', 'competition'}"
Lawsonibacter sp019424865-UBA1417 sp900552925,1,"{'co-exclusion', 'competition'}"
Pelethomonas intestinigallinarum-UBA1417 sp900552925,1,"{'co-exclusion', 'competition'}"
Agathobaculum stercoravium-Anaeromassilibacillus stercoravium,1,"{'co-occurrence', 'competition'}"
Agathobaculum stercoravium-Scatavimonas merdipullorum,1,"{'co-exclusion', 'competition'}"
unclassified_Lawsonibacter-Faeciplasma gallinarum,1,"{'co-occurrence', 'competition'}"
Dysosmobacter avistercoris-unclassified_Acutalibacteraceae,1,"{'co-exclusion', 'competition'}"
UBA1417 sp900552925-CAJFUH01 sp904420155,1,"{'co-exclusion', 'competition'}"
Lawsonibacter sp019424865-Fournierella sp002161595,1,"{'co-exclusion', 'competition'}"
CAJFUH01 sp904420155-Fournierella sp002161595,1,"{'co-occurrence', 'competition'}"
Gordonibacter urolithinfaciens-Ruthenibacterium lactatiformans,1,"{'cooperation', 'co-exclusion', 'competition'}"
Pseudobutyricicoccus lothianensis-Faeciplasma gallinarum,1,"{'co-occurrence', 'competition'}"
