,type,total_edges,co-occurrence,co-exclusion,competition,cooperation
unclassified_Oscillospiraceae,taxon,15,1,3,6,5
UMGS775 sp900545325,taxon,15,4,0,8,3
treatment_TG1,metavar,15,12,3,0,0
unclassified_CAG-273,taxon,15,3,1,6,5
Lachnoclostridium_A sp002160755,taxon,15,4,1,7,3
treatment_TG5,metavar,14,12,2,0,0
Mediterraneibacter sp900761655,taxon,14,6,1,6,1
Borkfalkia ceftriaxoniphila,taxon,14,2,2,7,3
Lachnoclostridium_A stercoripullorum,taxon,14,2,3,8,1
Dysosmobacter faecalis,taxon,14,5,0,7,2
Mediterraneibacter intestinavium,taxon,14,3,2,9,0
Intestinimonas timonensis,taxon,14,3,1,8,2
Lachnoclostridium_A avicola,taxon,14,4,2,6,2
Anaerotruncus colihominis,taxon,14,3,1,8,2
treatment_TG4,metavar,14,13,1,0,0
Sellimonas intestinalis,taxon,14,3,1,7,3
Caccovicinus merdipullorum,taxon,13,3,2,7,1
Scatosoma sp900555925,taxon,13,3,1,8,1
Lactobacillus crispatus,taxon,13,2,1,6,4
Merdimonas faecis,taxon,13,5,0,8,0
Thomasclavelia ramosa,taxon,13,1,2,5,5
Anaerotignum lactatifermentans,taxon,13,5,0,5,3
UBA4716 sp905215805,taxon,13,4,0,7,2
Avimicrobium caecorum,taxon,13,3,2,6,2
unclassified_Acutalibacteraceae,taxon,13,1,3,7,2
Klebsiella pneumoniae,taxon,12,4,0,4,4
Scatosoma sp904419075,taxon,12,3,1,6,2
Holdemania filiformis,taxon,12,2,1,5,4
Ruthenibacterium lactatiformans,taxon,12,3,1,6,2
Eubacterium_R faecavium,taxon,11,3,1,6,1
unclassified_CAG-508,taxon,11,3,0,5,3
unclassified_Eubacterium_R,taxon,11,2,1,6,2
Borkfalkia faecigallinarum,taxon,11,2,1,5,3
Rubneribacter badeniensis,taxon,11,3,2,4,2
Agathobaculum sp900557315,taxon,11,2,3,5,1
Ornithomonoglobus sp904420525,taxon,10,2,1,6,1
Akkermansia sp905200945,taxon,10,3,1,5,1
L-Leucine,metavar,10,10,0,0,0
Faecalibacterium faecigallinarum,taxon,10,3,1,6,0
L-Arginine,metavar,10,7,3,0,0
Borkfalkia sp017886545,taxon,10,4,0,5,1
unclassified_Blautia,taxon,10,2,2,5,1
Borkfalkia sp944342025,taxon,9,3,0,6,0
Blautia ornithocaccae,taxon,9,3,0,5,1
L-Asparagine,metavar,9,7,2,0,0
L-Aspartic Acid,metavar,9,7,2,0,0
Pullichristensenella excrementipullorum,taxon,9,2,1,4,2
L-Valine,metavar,9,7,2,0,0
Mediterraneibacter merdavium,taxon,9,4,0,5,0
L-Isoleucine,metavar,9,9,0,0,0
Anaerobutyricum faecale,taxon,8,2,1,3,2
Merdisoma sp944375745,taxon,8,2,1,5,0
Clostridium_AQ sp900552125,taxon,8,1,1,4,2
Anaerostipes excrementavium,taxon,8,2,1,4,1
CAG-273 sp944392105,taxon,8,1,1,3,3
Eisenbergiella merdavium,taxon,8,3,0,4,1
Massilimicrobiota sp002160865,taxon,8,1,3,4,0
unclassified_CAG-269,taxon,8,2,0,4,2
L-Alanine,metavar,8,8,0,0,0
L-Glutamic acid,metavar,8,7,1,0,0
L-Glutamine,metavar,8,7,1,0,0
L-Tyrosine,metavar,8,6,2,0,0
Galloscillospira_A stercoripullorum,taxon,8,2,1,3,2
Ruminococcus_G avistercoris,taxon,7,2,0,4,1
Mediterraneibacter avicola,taxon,7,2,0,3,2
unclassified_Intestinimonas,taxon,7,1,1,4,1
L-Tryptophan,metavar,7,6,1,0,0
L-Threonine,metavar,7,7,0,0,0
Total_removed_abd,metavar,7,2,5,0,0
L-Phenylalanine,metavar,7,7,0,0,0
Caccovicinus sp017889125,taxon,7,3,0,4,0
Mediterraneibacter sp944381495,taxon,7,2,1,4,0
L-Serine,metavar,6,5,1,0,0
Nicotinic acid,metavar,6,5,1,0,0
Mediterraneibacter pullicola,taxon,6,2,0,2,2
Fimimorpha faecalis,taxon,6,1,1,3,1
L-Proline,metavar,6,5,1,0,0
L-Methionine,metavar,6,4,2,0,0
Scatavimonas merdipullorum,taxon,6,1,1,3,1
Scatomorpha sp900759385,taxon,6,3,0,3,0
unclassified_Blautia_A,taxon,6,2,1,3,0
Streptococcus alactolyticus,taxon,5,1,0,2,2
Niacinamide,metavar,5,4,1,0,0
Alangreenwoodia sp905206455,taxon,5,1,0,2,2
unclassified_CAJFPI01,taxon,5,1,0,2,2
Salmonella enterica,taxon,5,1,0,2,2
Faecivivens stercoravium,taxon,5,1,1,2,1
Proteus mirabilis,taxon,5,2,0,2,1
Tyzzerella sp944383305,taxon,5,2,0,2,1
Evtepia gabavorous,taxon,5,3,0,1,1
Pantothenic acid,metavar,4,3,1,0,0
unclassified_Ornithomonoglobus_A,taxon,4,1,0,2,1
Enterenecus faecium,taxon,4,1,0,2,1
Clostridium_AQ innocuum,taxon,4,0,1,2,1
Agathobaculum sp900291975,taxon,4,2,0,1,1
L-Histidine,metavar,4,4,0,0,0
HGM12998 sp900756495,taxon,3,1,0,2,0
Timburyella stercoris,taxon,3,1,0,1,1
Fimicola sp944379995,taxon,3,2,0,1,0
Metalachnospira gallinarum,taxon,3,0,2,1,0
Pyridoxine,metavar,3,2,1,0,0
unclassified_Gallispira,taxon,3,2,1,0,0
Pyridoxamine,metavar,3,3,0,0,0
L-Lysine,metavar,3,3,0,0,0
Thiamine,metavar,3,3,0,0,0
a-Tocopheryl acetate,metavar,2,0,2,0,0
Riboflavin,metavar,2,2,0,0,0
Bifidobacterium globosum,taxon,1,1,0,0,0
