,occurrences_across_networks,interaction_types,networks_with_the_edge
Acutalibacter ornithocaccae-Merdivicinus intestinigallinarum,2,"{'competition', 'co-occurrence'}","{'day28', 'day21'}"
Pararuminococcus gallinarum-Enterocloster sp944384065,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
unclassified_Intestinimonas-Scatosoma sp900555925,2,"{'competition', 'co-occurrence'}","{'overall', 'TG5'}"
Fournierella sp002161595-Ligilactobacillus salivarius,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day21'}"
unclassified_Lawsonibacter-treatment_TG2,2,"{'co-exclusion', 'co-occurrence'}","{'day35', 'day21'}"
Intestinimonas stercoravium-Choladocola avistercoris,2,"{'competition', 'co-occurrence'}","{'day35', 'overall'}"
Lawsonibacter sp900545895-Acutalibacter ornithocaccae,2,"{'competition', 'co-occurrence'}","{'day35', 'TG2'}"
L-Arginine-L-Tryptophan,2,{'co-occurrence'},"{'day28', 'day21'}"
Anaerotignum lactatifermentans-treatment_TG5,2,{'co-occurrence'},"{'day28', 'day21'}"
Flavonifractor avistercoris-Mediterraneibacter faecavium,2,"{'competition', 'co-exclusion', 'cooperation'}","{'day28', 'day21'}"
Gallacutalibacter pullicola-L-Arginine,2,{'co-exclusion'},"{'day28', 'day21'}"
Flavonifractor plautii-Anaerotruncus colihominis,2,"{'competition', 'co-occurrence'}","{'overall', 'TG3'}"
Heteroclostridium caecigallinarum-Borkfalkia sp944342025,2,"{'competition', 'co-occurrence'}","{'TG2', 'day21'}"
Gordonibacter urolithinfaciens-Roslinia sp019419865,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day28'}"
Lawsonibacter sp019424865-Egerieicola faecale,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG2', 'day21'}"
Lawsonibacter asaccharolyticus-Acutalibacter sp900755895,2,"{'competition', 'co-occurrence'}","{'overall', 'TG2'}"
Gallacutalibacter pullicola-Merdisoma faecalis,2,"{'competition', 'co-occurrence'}","{'overall', 'TG2'}"
CAJFUH01 sp904420155-Ligilactobacillus salivarius,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day28'}"
Gallacutalibacter pullicola-Mediterraneibacter faecavium,2,"{'competition', 'co-occurrence'}","{'overall', 'TG3'}"
Pelethomonas intestinigallinarum-Faeciplasma gallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG2', 'day21'}"
Flavonifractor avicola-Lactobacillus crispatus,2,"{'competition', 'co-exclusion', 'cooperation'}","{'TG4', 'overall'}"
Anaerotruncus colihominis-Eisenbergiella merdigallinarum,2,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'TG5'}"
Mediterraneibacter intestinavium-Thomasclavelia spiroformis,2,"{'competition', 'co-exclusion'}","{'day35', 'overall'}"
Pseudobutyricicoccus lothianensis-Mediterraneibacter merdigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG2'}"
Fimenecus stercoravium-Lachnoclostridium_A avicola,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day28'}"
Pararuminococcus gallinarum-UMGS775 sp900545325,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'TG2'}"
Acutalibacter stercoravium-L-Valine,2,{'co-exclusion'},"{'overall', 'TG1'}"
Eisenbergiella sp904392525-Blautia ornithocaccae,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'TG1'}"
L-Threonine-L-Leucine,2,{'co-occurrence'},"{'TG1', 'TG5'}"
Dysosmobacter pullicola-Massilimicrobiota merdigallinarum,2,"{'competition', 'co-exclusion', 'cooperation'}","{'TG4', 'overall'}"
Lawsonibacter sp900545895-Enterocloster excrementigallinarum,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Anaerotignum merdipullorum-Total_removed_abd,2,"{'co-exclusion', 'co-occurrence'}","{'day35', 'overall'}"
unclassified_Lawsonibacter-Blautia_A intestinavium,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day28', 'day21'}"
Choladocola sp944381625-Blautia_A intestinavium,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day28', 'day21'}"
Fimenecus stercoravium-Caccovicinus sp017889125,2,"{'competition', 'co-occurrence'}","{'day35', 'TG5'}"
Dysosmobacter faecalis-unclassified_Blautia,2,{'co-occurrence'},"{'day35', 'overall'}"
Anaerotignum merdipullorum-Lachnoclostridium_A stercorigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG5', 'TG2'}"
Lawsonibacter sp019424865-Pelethomonas intestinigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day21'}"
L-Threonine-L-Tryptophan,2,{'co-occurrence'},"{'TG1', 'day28'}"
UBA1417 sp900552925-Ligilactobacillus salivarius,2,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'day21'}"
unclassified_CAJFPI01-Alangreenwoodia sp905206455,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG2', 'day28'}"
unclassified_Lawsonibacter-Spyradocola merdavium,2,"{'competition', 'co-occurrence'}","{'TG2', 'day28'}"
Flavonifractor plautii-Flavonifractor avistercoris,2,"{'competition', 'co-exclusion'}","{'overall', 'day28'}"
Intestinimonas pullistercoris-Intestinimonas timonensis,2,"{'competition', 'co-exclusion'}","{'day35', 'overall'}"
UBA1417 sp900552925-Clostridium_Q saccharolyticum_A,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day28', 'day21'}"
Flavonifractor plautii-Pelethomonas intestinigallinarum,2,"{'competition', 'co-exclusion'}","{'overall', 'day28'}"
Mediterraneibacter sp019418195-Thomasclavelia spiroformis,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'TG4', 'TG3'}"
Gemmiger stercoravium-Neoanaerotignum_A tabaqchaliae,2,"{'competition', 'co-exclusion'}","{'day35', 'day28'}"
Caccovicinus merdipullorum-UMGS1370 sp904395885,2,"{'competition', 'co-occurrence'}","{'overall', 'TG5'}"
Rubneribacter badeniensis-treatment_TG3,2,{'co-occurrence'},"{'overall', 'day14'}"
Thomasclavelia spiroformis-L-Tryptophan,2,{'co-occurrence'},"{'overall', 'TG5'}"
Acutalibacter stercoravium-Coprocola pullicola,2,"{'competition', 'co-exclusion'}","{'day28', 'day14'}"
Ornithomonoglobus merdipullorum-Anaerotignum lactatifermentans,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day14'}"
L-Glutamic acid-L-Arginine,2,{'co-occurrence'},"{'overall', 'day28'}"
Evtepia gabavorous-Merdimonas faecis,2,{'co-occurrence'},"{'day35', 'overall'}"
Faecousia gallistercoris-Copromonas faecavium,2,"{'competition', 'co-exclusion', 'cooperation'}","{'TG5', 'day28'}"
Acutalibacter stercoravium-Mediterraneibacter faecigallinarum,2,"{'competition', 'co-exclusion'}","{'overall', 'day14'}"
Anaerotignum merdipullorum-Enterocloster excrementigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day14'}"
Pullilachnospira stercoravium-Mediterraneibacter vanvlietii,2,"{'competition', 'co-occurrence'}","{'overall', 'day14'}"
Flavonifractor plautii-Enterocloster excrementigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG2'}"
Merdivicinus intestinigallinarum-Enterocloster excrementipullorum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'TG3'}"
Merdisoma faecalis-Anaerobutyricum stercoris,2,"{'competition', 'co-exclusion'}","{'day14', 'day21'}"
Faecousia gallistercoris-Gallacutalibacter pullicola,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day28'}"
Heritagella sp905215105-Borkfalkia sp904373255,2,"{'competition', 'co-occurrence'}","{'day28', 'day21'}"
Copromonas faecavium-Thomasclavelia spiroformis,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG1', 'day14'}"
Choladocola avistercoris-Copromonas faecavium,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG4', 'day28'}"
Alistipes excrementavium-unclassified_Onthovicinus,2,"{'competition', 'co-exclusion', 'co-occurrence', 'cooperation'}","{'day35', 'day21'}"
Clostridium_Q saccharolyticum_A-Total_removed_abd,2,{'co-exclusion'},"{'overall', 'day14'}"
Ligilactobacillus salivarius-treatment_TG1,2,{'co-occurrence'},"{'overall', 'day14'}"
Mediterraneibacter excrementipullorum-Borkfalkia excrementigallinarum,2,"{'competition', 'co-occurrence'}","{'day28', 'day21'}"
Acutalibacter stercoravium-Merdivicinus intestinigallinarum,2,"{'competition', 'co-occurrence'}","{'day14', 'day21'}"
Acutalibacter pullistercoris-Merdisoma sp944375745,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'TG2', 'day28'}"
Flavonifractor avistercoris-Hungatella_B pullicola,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day07'}"
Intestinimonas stercoravium-Borkfalkia excrementigallinarum,2,"{'competition', 'co-occurrence'}","{'overall', 'TG5'}"
Eisenbergiella merdigallinarum-Scatosoma sp900555925,2,"{'competition', 'co-occurrence'}","{'overall', 'day28'}"
Blautia_A intestinavium-Hungatella_B pullicola,2,"{'competition', 'co-occurrence'}","{'overall', 'day28'}"
Acutalibacter ornithocaccae-Mediterraneibacter faecigallinarum,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day07'}"
Coproplasma stercorigallinarum-Massilimicrobiota merdigallinarum,2,"{'competition', 'co-exclusion', 'cooperation'}","{'day35', 'day28'}"
Negativibacillus faecipullorum-Sellimonas intestinalis,2,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'day07'}"
Anaerotruncus colihominis-Sellimonas intestinalis,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day07'}"
Acutalibacter stercoravium-Copromonas faecavium,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG2', 'day07'}"
Anaerotignum merdipullorum-Thomasclavelia spiroformis,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG2', 'day07'}"
L-Asparagine-L-Histidine,2,{'co-occurrence'},"{'TG1', 'day07'}"
Acutalibacter stercoravium-Hungatella_B pullicola,2,"{'competition', 'co-exclusion', 'cooperation'}","{'overall', 'day21'}"
Flavonifractor avicola-treatment_TG1,2,{'co-occurrence'},"{'overall', 'day07'}"
Pantothenic acid-a-Tocopheryl acetate,2,{'co-exclusion'},"{'overall', 'day28'}"
Mediterraneibacter excrementipullorum-treatment_TG3,2,{'co-exclusion'},"{'overall', 'day07'}"
L-Methionine-Thiamine,2,{'co-occurrence'},"{'TG4', 'overall'}"
Flavonifractor avistercoris-treatment_TG4,2,{'co-occurrence'},"{'overall', 'day07'}"
Nicotinic acid-Thiamine,2,{'co-occurrence'},"{'overall', 'TG3'}"
L-Asparagine-L-Valine,2,{'co-occurrence'},"{'TG1', 'day07'}"
unclassified_Onthovicinus-unclassified_Mediterraneibacter,2,"{'competition', 'co-exclusion', 'co-occurrence', 'cooperation'}","{'day35', 'day28'}"
unclassified_Choladocola-Limosilactobacillus reuteri_E,2,"{'competition', 'co-occurrence'}","{'day35', 'day28'}"
Negativibacillus faecipullorum-treatment_TG3,2,{'co-exclusion'},"{'day14', 'day21'}"
L-Glutamic acid-Niacinamide,2,{'co-occurrence'},"{'overall', 'TG3'}"
UMGS1370 sp904395885-treatment_TG3,2,{'co-occurrence'},"{'overall', 'day14'}"
Lawsonibacter sp019424865-Lachnoclostridium_A stercoripullorum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG2'}"
Choladocola sp944381625-Enterocloster sp944384065,2,"{'competition', 'co-occurrence'}","{'TG2', 'day28'}"
Klebsiella pneumoniae-Faecousia gallistercoris,2,"{'competition', 'co-exclusion', 'cooperation'}","{'TG1', 'TG3'}"
Lawsonibacter sp019424865-Faecousia gallistercoris,2,"{'competition', 'co-occurrence'}","{'TG1', 'TG2'}"
L-Valine-L-Isoleucine,2,{'co-occurrence'},"{'day35', 'TG5'}"
Klebsiella pneumoniae-Anaeromassilibacillus stercoravium,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'TG1'}"
Flavonifractor plautii-Clostridium_Q saccharolyticum_A,2,"{'competition', 'co-occurrence'}","{'day35', 'overall'}"
Onthovicinus excrementipullorum-L-Proline,2,{'co-exclusion'},"{'TG4', 'overall'}"
Anaeromassilibacillus stercoravium-Merdivicinus intestinigallinarum,2,"{'competition', 'co-occurrence'}","{'overall', 'TG1'}"
Lactobacillus crispatus-Pantothenic acid,2,{'co-occurrence'},"{'overall', 'TG5'}"
Merdivicinus intestinigallinarum-Merdisoma faecalis,2,"{'competition', 'co-occurrence'}","{'TG1', 'day28'}"
Pseudobutyricicoccus lothianensis-Blautia_A intestinavium,2,"{'competition', 'co-occurrence', 'cooperation'}","{'day35', 'day21'}"
Ornithomonoglobus merdipullorum-Pantothenic acid,2,{'co-occurrence'},"{'overall', 'day21'}"
UBA1417 sp900552925-Mediterraneibacter faecavium,2,"{'competition', 'co-occurrence'}","{'TG1', 'day21'}"
Roslinia sp019419865-Romboutsia sp904418825,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day28'}"
Escherichia coli-L-Asparagine,2,{'co-exclusion'},"{'overall', 'day21'}"
Klebsiella pneumoniae-Intestinimonas stercoravium,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG1', 'day21'}"
Flavonifractor plautii-Negativibacillus faecipullorum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'TG4', 'TG5'}"
Heritagella sp905215105-Merdibacter merdigallinarum,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day35', 'day21'}"
L-Aspartic Acid-L-Arginine,2,{'co-occurrence'},"{'overall', 'day14'}"
Eisenbergiella merdigallinarum-L-Aspartic Acid,2,{'co-occurrence'},"{'overall', 'day28'}"
L-Asparagine-L-Glutamine,2,{'co-occurrence'},"{'overall', 'day14'}"
L-Glutamic acid-L-Aspartic Acid,2,{'co-occurrence'},"{'TG4', 'day14'}"
Lachnoclostridium_A stercoripullorum-Gallimonas merdigallinarum,2,"{'competition', 'co-occurrence'}","{'day35', 'overall'}"
L-Aspartic Acid-L-Histidine,2,{'co-occurrence'},"{'overall', 'TG5'}"
Choladocola sp944381625-Scatosoma sp904419075,2,"{'competition', 'co-exclusion', 'co-occurrence'}","{'day28', 'day21'}"
Niacinamide-Nicotinic acid,2,"{'co-exclusion', 'co-occurrence'}","{'day14', 'day21'}"
Pullilachnospira stercoravium-L-Histidine,2,{'co-occurrence'},"{'day35', 'overall'}"
Proteus mirabilis-Niacinamide,2,{'co-occurrence'},"{'overall', 'day14'}"
Intestinimonas pullistercoris-Coproplasma stercorigallinarum,2,"{'competition', 'co-occurrence', 'cooperation'}","{'overall', 'day28'}"
Nicotinic acid-L-Methionine,2,{'co-occurrence'},"{'TG4', 'overall'}"
UMGS775 sp900545325-Holdemania filiformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Mediterraneibacter avicola-Holdemania filiformis,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
unclassified_CAG-273-Holdemania filiformis,1,"{'competition', 'co-exclusion', 'cooperation'}",{'day35'}
unclassified_CAG-269-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Fimenecus stercoravium-Streptococcus alactolyticus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Blautia stercorigallinarum-Merdibacter merdigallinarum,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Akkermansia sp905200945-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Ornithomonoglobus sp904420525-Limosilactobacillus reuteri_E,1,"{'competition', 'co-occurrence'}",{'day35'}
Heteroclostridium caecigallinarum-unclassified_Merdibacter,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Lawsonibacter asaccharolyticus-Lactobacillus crispatus,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Faeciplasma gallinarum-unclassified_Merdibacter,1,"{'competition', 'co-occurrence'}",{'day35'}
Proteus mirabilis-Flavonifractor plautii,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day07'}
Lawsonibacter sp019424865-Ligilactobacillus salivarius,1,"{'competition', 'co-occurrence', 'cooperation'}",{'day35'}
Flavonifractor avicola-Gallacutalibacter pullicola,1,"{'competition', 'co-exclusion'}",{'TG5'}
Enterocloster excrementigallinarum-L-Arginine,1,{'co-exclusion'},{'day35'}
Anaerostipes butyraticus-L-Tyrosine,1,{'co-exclusion'},{'day35'}
L-Phenylalanine-L-Tryptophan,1,{'co-occurrence'},{'day35'}
L-Glutamine-Thiamine,1,{'co-occurrence'},{'day35'}
Agathobaculum stercoravium-Intestinimonas stercoravium,1,"{'competition', 'co-occurrence'}",{'TG5'}
Lawsonibacter sp900545895-Dysosmobacter pullicola,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
Dysosmobacter avistercoris-Dysosmobacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG5'}
Flavonifractor avicola-Pelethomonas intestinigallinarum,1,"{'competition', 'co-occurrence'}",{'TG5'}
Lawsonibacter asaccharolyticus-Dysosmobacter faecalis,1,"{'competition', 'co-occurrence'}",{'TG5'}
Pelethomonas intestinigallinarum-Scatomorpha sp900759385,1,"{'competition', 'co-occurrence', 'cooperation'}",{'TG5'}
unclassified_Lawsonibacter-Acutalibacter sp900755895,1,"{'competition', 'co-exclusion', 'cooperation'}",{'TG5'}
Agathobaculum sp900557315-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG5'}
unclassified_Lawsonibacter-Gallacutalibacter pullicola,1,"{'competition', 'co-occurrence'}",{'TG5'}
Avimicrobium caecorum-Pyridoxine,1,{'co-occurrence'},{'day35'}
